block,model,K,definition,n_test_selected_model,n_test_selected_bench,k_local,overlap_at_k,n_a,n_b,rate_a_pct,rate_b_pct,gap_pp,ratio,bench_gap_pp,bench_rate_a_pct,bench_rate_b_pct,n_model_positive_a,n_model_positive_b,n_bench_positive_a,n_bench_positive_b,D
B3,gradient_boosting,0.05,global,1229,1288,1238,0.42245557350565427,8904,15145,9.54627133872417,2.2581710135358204,7.288100325188349,4.227435070905776,6.3767260892534186,9.209344115004491,2.832618025751073,850,342,820,429,0.9113742359349306
B4,logistic_regression,0.05,local,1238,1238,1238,0.388529886914378,8904,15145,10.669362084456424,1.6375041267745132,9.031857957681911,6.515624547140828,6.122982478152936,8.84995507637017,2.7269725982172335,950,248,788,413,2.908875479528975
B4,logistic_regression,0.05,global,1270,1288,1238,0.407108239095315,8904,15145,10.860287511230908,1.7233410366457578,9.13694647458515,6.3018794773023785,6.3767260892534186,9.209344115004491,2.832618025751073,967,261,820,429,2.7602203853317313
B4,gradient_boosting,0.05,local,1238,1238,1238,0.41276252019386106,8904,15145,10.062893081761008,1.9544404093760317,8.108452672384976,5.148733639299678,6.122982478152936,8.84995507637017,2.7269725982172335,896,296,788,413,1.9854701942320396
B4,gradient_boosting,0.05,global,1237,1288,1238,0.42487883683360256,8904,15145,10.062893081761008,1.9478375701551667,8.11505551160584,5.166186973670185,6.3767260892534186,9.209344115004491,2.832618025751073,896,295,820,429,1.7383294223524217
B5,logistic_regression,0.05,local,1238,1238,1238,0.388529886914378,8904,15145,9.928122192273134,2.0997028722350612,7.828419320038073,4.728346245345176,6.122982478152936,8.84995507637017,2.7269725982172335,884,318,788,413,1.7054368418851364
B5,logistic_regression,0.05,global,1243,1288,1238,0.3998384491114701,8904,15145,9.95058400718778,2.119511389897656,7.831072617290124,4.694753731740153,6.3767260892534186,9.209344115004491,2.832618025751073,886,321,820,429,1.4543465280367052
B5,gradient_boosting,0.05,local,1238,1238,1238,0.407108239095315,8904,15145,9.658580413297395,2.2383624958732256,7.42021791742417,4.315020659568998,6.122982478152936,8.84995507637017,2.7269725982172335,860,339,788,413,1.2972354392712333
B5,gradient_boosting,0.05,global,1233,1288,1238,0.4176090468497577,8904,15145,9.63611859838275,2.2317596566523603,7.404358941730389,4.317722371967656,6.3767260892534186,9.209344115004491,2.832618025751073,858,338,820,429,1.0276328524769704
B6,logistic_regression,0.05,local,1238,1238,1238,0.3861066235864297,8904,15145,10.635669362084457,1.6573126444371078,8.97835671764735,6.417418824253749,6.122982478152936,8.84995507637017,2.7269725982172335,947,251,788,413,2.855374239494413
B6,logistic_regression,0.05,global,1267,1288,1238,0.40549273021001614,8904,15145,10.849056603773585,1.7167381974248928,9.132318406348691,6.319575471698113,6.3767260892534186,9.209344115004491,2.832618025751073,966,260,820,429,2.7555923170952727
B6,gradient_boosting,0.05,local,1238,1238,1238,0.4095315024232633,8904,15145,10.085354896675652,1.9610432485968967,8.124311648078756,5.142851848826692,6.122982478152936,8.84995507637017,2.7269725982172335,898,297,788,413,2.0013291699258193
B6,gradient_boosting,0.05,global,1242,1288,1238,0.42164781906300486,8904,15145,10.119047619047619,1.9610432485968967,8.158004370450723,5.160032868366201,6.3767260892534186,9.209344115004491,2.832618025751073,901,297,820,429,1.781278281197304
