block,model,K,mitigation,overlap_at_k,jaccard,pr_auc,roc_auc,rate_white_pct,rate_bp_pct,gap_pp,ratio,bench_gap_pp,D,zero_sum_value,white_p_g,white_q_g,white_net_realloc,white_fpr,white_fnr,bp_p_g,bp_q_g,bp_net_realloc,bp_fpr,bp_fnr,source,level,constraint_strength,tpr_white,tpr_bp,tpr_gap,tau_white,tau_bp,n_realised,n_target,target_tpr_gap,overlap_above_anchor,gap_above_anchor
B4,logistic_regression,0.1,,0.4848607186112232,,,,,,12.469904579184682,3.3003252722503293,,1.44453348093319,-4.7295500849031675e-14,,,,,,,,,,,E3_frontier,3,0.3,0.5593108018555335,0.3628318584070796,,,,2477.0,2477.0,0.1966521666461408,0.3888607186112232,12.859904579184683
B4,logistic_regression,0.1,,0.480419862737182,,,,,,11.50688225856256,2.9916769349249135,,0.4815111603110669,8.748557434046235e-14,,,,,,,,,,,E3_frontier,4,0.4,0.5500331345261763,0.3816371681415929,,,,2477.0,2477.0,0.1685589999824064,0.384419862737182,11.896882258562561
B4,logistic_regression,0.1,,0.4775938635446104,,,,,,10.633028671331369,2.742827047914649,,-0.3923424269201252,5.5511151231257833e-14,,,,,,,,,,,E3_frontier,5,0.5,0.536779324055666,0.3960176991150442,,,,2477.0,2477.0,0.140465833318672,0.38159386354461045,11.02302867133137
B4,logistic_regression,0.1,,0.4755752926927735,,,,,,9.723507590743806,2.5103848457622044,,-1.3018635075076863,1.3722356584366937e-13,,,,,,,,,,,E3_frontier,6,0.6,0.5208747514910537,0.4081858407079646,,,,2477.0,2477.0,0.1123726666549376,0.37957529269277346,10.113507590743806
B4,logistic_regression,0.1,,0.473960436011304,,,,,,8.778319016799866,2.2932649952279567,,-2.247052081451626,-8.992806499463769e-14,,,,,,,,,,,E3_frontier,7,0.7,0.510934393638171,0.4269911504424779,,,,2477.0,2477.0,0.0842794999912032,0.377960436011304,9.168319016799867
B4,logistic_regression,0.1,,0.4719418651594671,,,,,,7.60129173603949,2.052299482105284,,-3.4240793622120025,1.0880185641326535e-13,,,,,,,,,,,E3_frontier,8,0.8,0.4910536779324055,0.4347345132743362,,,,2477.0,2477.0,0.0561863333274688,0.37594186515946715,7.991291736039489
B4,logistic_regression,0.1,,0.4691158659668954,,,,,,6.584768175382799,1.866431920210013,,-4.440602922868693,-1.467714838554457e-13,,,,,,,,,,,E3_frontier,9,0.9,0.4731610337972167,0.4457964601769911,,,,2477.0,2477.0,0.0280931666637344,0.3731158659668954,6.974768175382799
B4,logistic_regression,0.1,,0.4662898667743237,,,,,,5.461242134656986,1.6813057012304784,,-5.564128963594506,-1.1834977442504169e-13,,,,,,,,,,,E3_frontier,10,1.0,0.4559310801855533,0.4557522123893805,,,,2477.0,2477.0,0.0,0.37028986677432374,5.851242134656986
B4,gradient_boosting,0.1,,0.5010092854259185,,,,,,16.14297786862367,5.007957374103368,,5.117606770372179,-5.3734794391857577e-14,,,,,,,,,,,E3_frontier,0,0.0,0.6010603048376408,0.3230088495575221,,,,2477.0,2477.0,0.2780514552801187,0.4050092854259185,16.53297786862367
B4,gradient_boosting,0.1,,0.4993944287444489,,,,,,14.591441907621356,4.1705507559673665,,3.566070809369863,5.995204332975845e-14,,,,,,,,,,,E3_frontier,1,0.1,0.588469184890656,0.3373893805309734,,,,2477.0,2477.0,0.2502463097521068,0.40339442874444886,14.981441907621356
B4,gradient_boosting,0.1,,0.4985870004037142,,,,,,13.878092040493854,3.851882007507183,,2.852720942242362,8.837375276016247e-14,,,,,,,,,,,E3_frontier,2,0.2,0.5772034459907224,0.3539823008849557,,,,2477.0,2477.0,0.2224411642240949,0.4025870004037142,14.268092040493855
B4,gradient_boosting,0.1,,0.4969721437222446,,,,,,12.825900986480788,3.4403049050282855,,1.8005298882292955,-6.794564910705958e-14,,,,,,,,,,,E3_frontier,3,0.2999999999999999,0.5632869449966865,0.368362831858407,,,,2477.0,2477.0,0.1946360186960831,0.40097214372224455,13.215900986480788
B4,gradient_boosting,0.1,,0.4929350020185709,,,,,,11.862878665858664,3.11368585169917,,0.8375075676071706,-6.794564910705958e-14,,,,,,,,,,,E3_frontier,4,0.4,0.5493704440026508,0.3827433628318584,,,,2477.0,2477.0,0.1668308731680712,0.3969350020185709,12.252878665858665
B4,gradient_boosting,0.1,,0.4925312878482035,,,,,,10.775020118489223,2.7913027408838564,,-0.2503509797622669,1.0613732115416497e-13,,,,,,,,,,,E3_frontier,5,0.5,0.536779324055666,0.3982300884955752,,,,2477.0,2477.0,0.1390257276400593,0.39653128784820346,11.165020118489224
B4,gradient_boosting,0.1,,0.4905127169963665,,,,,,9.794164051188911,2.5355343121662117,,-1.2312070470625809,3.1530333899354446e-14,,,,,,,,,,,E3_frontier,6,0.6,0.5228628230616302,0.411504424778761,,,,2477.0,2477.0,0.1112205821120475,0.3945127169963665,10.184164051188912
B4,gradient_boosting,0.1,,0.4848607186112232,,,,,,8.545801783715785,2.249287336046096,,-2.4795693145357074,-8.215650382226158e-14,,,,,,,,,,,E3_frontier,7,0.7,0.5069582504970179,0.4236725663716814,,,,2477.0,2477.0,0.0834154365840356,0.3888607186112232,8.935801783715785
B4,gradient_boosting,0.1,,0.4820347194186516,,,,,,7.903786903301034,2.116631088157595,,-3.121584194950458,3.1530333899354446e-14,,,,,,,,,,,E3_frontier,8,0.8,0.4943671305500331,0.4380530973451327,,,,2477.0,2477.0,0.0556102910560237,0.38603471941865164,8.293786903301035
B4,gradient_boosting,0.1,,0.4751715785224061,,,,,,7.047767062748032,1.9530217157617764,,-3.97760403550346,3.1530333899354446e-14,,,,,,,,,,,E3_frontier,9,0.8999999999999999,0.4804506295559973,0.4524336283185841,,,,2477.0,2477.0,0.0278051455280118,0.3791715785224061,7.437767062748032
B4,gradient_boosting,0.1,,0.4695195801372628,,,,,,6.031243502091345,1.7760678236123486,,-4.994127596160147,5.995204332975845e-14,,,,,,,,,,,E3_frontier,10,1.0,0.465871438038436,0.4657079646017699,,,,2477.0,2477.0,0.0,0.37351958013726283,6.421243502091345
