task,variant,block,model,K,group_a,group_b,n_a,n_b,D_point,D_ci_lo,D_ci_hi,verdict,sign_reversal,ratio_point,ratio_ci_lo,ratio_ci_hi,gap_point_pp,bench_gap_point_pp
D2,ufs_direito,B3,logistic_regression,0.1,White,Black_Pardo,8904,15145,3.622225346656478,2.6627557042924668,4.556375521797823,amplification,False,3.873292779991406,3.536923421724951,4.208192551460523,13.963311231915979,10.341085885259501
D2,ufs_direito,B3,gradient_boosting,0.1,White,Black_Pardo,8904,15145,3.27215325231359,2.325409592566853,4.222161680128925,amplification,False,3.730761678656218,3.434151062682575,4.05414752830657,13.61323913757309,10.341085885259501
D2,ufs_direito,B4,logistic_regression,0.1,White,Black_Pardo,8904,15145,5.813801417089136,4.831218315047978,6.748642131750075,amplification,False,4.9783051738873185,4.5401276269741135,5.422258391318786,16.154887302348637,10.341085885259501
D2,ufs_direito,B4,gradient_boosting,0.1,White,Black_Pardo,8904,15145,5.091195413488718,4.141880788051533,6.038562149446631,amplification,False,4.579202148078741,4.1915910196025745,4.99353918683606,15.432281298748219,10.341085885259501
D2,objective_only,B3,logistic_regression,0.1,White,Black_Pardo,8904,15145,3.2325362169884,2.2243784773544246,4.134303837240311,amplification,False,4.184999709127577,3.8115127495544683,4.543593354146765,14.615878493520407,11.383342276532007
D2,objective_only,B3,gradient_boosting,0.1,White,Black_Pardo,8904,15145,3.2814093887865052,2.249537434182953,4.166925637525483,amplification,False,4.214148537934137,3.8374668197669064,4.580047805237183,14.664751665318512,11.383342276532007
D2,objective_only,B4,logistic_regression,0.1,White,Black_Pardo,8904,15145,5.3791886575917705,4.327498100126454,6.305130185090101,amplification,False,5.422796707270115,4.889754242814082,5.919872952859658,16.762530934123777,11.383342276532007
D2,objective_only,B4,gradient_boosting,0.1,White,Black_Pardo,8904,15145,5.367279223866804,4.307487711629749,6.262484809168754,amplification,False,5.458491434508611,4.92803568071341,5.989895233600286,16.75062150039881,11.383342276532007
D2,standardised_equal,B3,logistic_regression,0.1,White,Black_Pardo,8904,15145,3.4749273049945177,2.4831871943480195,4.362900894082569,amplification,False,4.195931757510791,3.8306240980926063,4.541124420347475,14.644943147655917,11.1700158426614
D2,standardised_equal,B3,gradient_boosting,0.1,White,Black_Pardo,8904,15145,3.0872129463108493,2.152388564481649,3.976300986985052,amplification,False,4.011516457586956,3.6662461063228093,4.3612110874281536,14.257228788972249,11.1700158426614
D2,standardised_equal,B4,logistic_regression,0.1,White,Black_Pardo,8904,15145,5.811148119837085,4.812827268420837,6.746719992898834,amplification,False,5.568023591688092,5.0644377213986616,6.081706307162488,16.981163962498485,11.1700158426614
D2,standardised_equal,B4,gradient_boosting,0.1,White,Black_Pardo,8904,15145,5.255648675561218,4.283192188746283,6.194502613549701,amplification,False,5.2092502390606015,4.71602675109424,5.6985809786311785,16.425664518222618,11.1700158426614
D3,state_only,B2,logistic_regression,0.1,White,Black_Pardo,8904,15145,-5.262930041049726,-6.361371855531299,-4.220322150923819,attenuation,False,1.7278746439643098,1.6121088814926257,1.8412400390926333,5.762441057201766,11.025371098251492
D3,state_only,B2,gradient_boosting,0.1,White,Black_Pardo,8904,15145,-4.815111603110631,-5.931539665829892,-3.6876850930671075,attenuation,False,1.8025117752039963,1.674743244106219,1.9343966489610112,6.210259495140861,11.025371098251492
D3,state_only,B3,logistic_regression,0.1,White,Black_Pardo,8904,15145,3.1512665675350924,2.165358686782485,4.059360889063699,amplification,False,3.98616380317577,3.6554312930910395,4.317178756851313,14.176637665786584,11.025371098251492
D3,state_only,B3,gradient_boosting,0.1,White,Black_Pardo,8904,15145,2.8996193430560613,1.9733489713245123,3.7831114515360227,amplification,False,3.8693058535184064,3.551684507559847,4.186090024887795,13.924990441307553,11.025371098251492
D3,state_only,B4,logistic_regression,0.1,White,Black_Pardo,8904,15145,5.50137158708703,4.5418609736014,6.4378278616678495,amplification,False,5.235152588315599,4.783726407585561,5.7127368296902326,16.526742685338522,11.025371098251492
D3,state_only,B4,gradient_boosting,0.1,White,Black_Pardo,8904,15145,5.735185064887874,4.812846141091342,6.6213689575196595,amplification,False,5.406920539769891,4.923011938374553,5.921183265668365,16.760556163139366,11.025371098251492
D3,state_only,B5,logistic_regression,0.1,White,Black_Pardo,8904,15145,3.133432820856905,2.1525706727747353,4.046448311722826,amplification,False,3.978265074373565,3.643840931664876,4.315001946305914,14.158803919108397,11.025371098251492
D3,state_only,B5,gradient_boosting,0.1,White,Black_Pardo,8904,15145,3.086534420043206,2.1926435628101757,4.001310408489128,amplification,False,3.9601774110051693,3.616361318450125,4.301777143800514,14.111905518294698,11.025371098251492
D3,state_only,B6,logistic_regression,0.1,White,Black_Pardo,8904,15145,5.483537840408845,4.509824559803306,6.41514489539127,amplification,False,5.223436247905588,4.755598350760673,5.696164436250499,16.508908938660337,11.025371098251492
D3,state_only,B6,gradient_boosting,0.1,White,Black_Pardo,8904,15145,5.485512611393249,4.5559979386149525,6.458729399868359,amplification,False,5.238259894619824,4.758270481366958,5.729311227890769,16.51088370964474,11.025371098251492
D4,black_vs_white,B3,logistic_regression,0.1,White,Black,8904,3287,3.81367039586096,2.656654416879799,4.977695185449718,amplification,False,7.50625187181791,6.096146281557138,9.332184317950638,16.626868184749146,12.813197788888186
D4,pardo_vs_white,B3,logistic_regression,0.1,White,Pardo,8904,11858,3.440927283122825,2.4883623533617407,4.404323673957344,amplification,False,3.680659868514787,3.4021360989507805,4.053746689837801,13.97071849166924,10.529791208546415
D4,bpi_vs_white,B3,logistic_regression,0.1,White,Black_Pardo_Indigenous,8904,15300,3.521519299543721,2.6213801243767936,4.397081065130454,amplification,False,4.174830242357552,3.858803004889511,4.548255853597985,14.587618695276856,11.066099395733135
D4,sex_f_vs_m,B3,logistic_regression,0.1,F,M,14837,9939,0.20161537647629135,-0.6186198946281082,1.0430498047254517,inconclusive,False,0.7495313919672185,0.6982252623376991,0.8065170594935096,-2.9459483126101373,-3.1475636890864287
D4,black_vs_white,B3,gradient_boosting,0.1,White,Black,8904,3287,3.4692092047109817,2.316685417874493,4.648686998606782,amplification,False,6.817420846517442,5.560386761501149,8.415848631650519,16.282406993599167,12.813197788888186
D4,pardo_vs_white,B3,gradient_boosting,0.1,White,Pardo,8904,11858,3.3314159906906795,2.3677331918265527,4.334574368496815,amplification,False,3.655350484144644,3.3770187297727983,4.019098118399193,13.861207199237095,10.529791208546415
D4,bpi_vs_white,B3,gradient_boosting,0.1,White,Black_Pardo_Indigenous,8904,15300,3.3616176030160503,2.4323991860895315,4.249726934799076,amplification,False,4.100338062933463,3.777853082210619,4.461689955066173,14.427716998749185,11.066099395733135
D4,sex_f_vs_m,B3,gradient_boosting,0.1,F,M,14837,9939,-0.18481409510326818,-0.970341337330595,0.6930000983352366,practical_reproduction,False,0.7221434329105587,0.6693412020104962,0.7784642848425569,-3.332377784189697,-3.1475636890864287
